Fetching product list...
Got 318 products (API count: 318 )
DB ready. brandId: 18404fc5 catId: 9ee350a7 lineId: 3567ae4e
  WARN img fail: /upload/jpg/202512/%E5%8E%9F%E7%90%86%E5%9B%BE1.jpg - HTTP 404 for https://www.3ctest.cn/upload/jpg/202512/%25E5%258E%259F%25E7%2590%2586%25E5%259B%25BE1.jpg
[300/318] OK: CN14598-19 | desc:2931 spec:5058 main:1 pdf:1
[301/318] OK: CN 416M5-100 | desc:2270 spec:6288 main:1 pdf:1
[302/318] OK: CN 416M4N-32 | desc:2574 spec:6270 main:1 pdf:1
[303/318] OK: MFT 400 | desc:2651 spec:2178 main:1 pdf:1
[304/318] OK: EDS 10AT | desc:1115 spec:10218 main:1 pdf:1
[305/318] OK: TCXS 1153 | desc:2397 spec:4210 main:1 pdf:1
[306/318] OK: TYX 130 | desc:3165 spec:3689 main:1 pdf:1
[307/318] OK: TFX 130 | desc:3187 spec:3700 main:1 pdf:1
[308/318] OK: TFX 140 | desc:2911 spec:3720 main:1 pdf:1
[309/318] OK: TFX 180 | desc:3209 spec:3709 main:1 pdf:1
[310/318] OK: CN 416M5-32 | desc:2271 spec:6283 main:1 pdf:1
  WARN img fail: /upload/png/202510/%E6%A0%87%E5%87%86%E5%8E%9F%E7%90%86%E5%9B%BE.png - HTTP 404 for https://www.3ctest.cn/upload/png/202510/%25E6%25A0%2587%25E5%2587%2586%25E5%258E%259F%25E7%2590%2586%25E5%259B%25BE.png
[311/318] OK: CN 416M4N-32 (690V) | desc:2357 spec:6179 main:1 pdf:1
[312/318] OK: CN 416M2/M3-32 | desc:2593 spec:6282 main:1 pdf:1
[313/318] OK: CDN 416T8 | desc:2130 spec:5625 main:1 pdf:1
[314/318] OK: CDN 416T4 | desc:2300 spec:6464 main:1 pdf:1
[315/318] OK: CDN 416T2 | desc:2299 spec:6464 main:1 pdf:1
[316/318] OK: CDS 300 | desc:2946 spec:17687 main:1 pdf:1
[317/318] OK: TCXS 113 | desc:2459 spec:3428 main:1 pdf:1
[318/318] OK: TCXS 111 | desc:2956 spec:4572 main:1 pdf:1

===== DONE =====
Success: 317 Skipped: 1 Failed: 0
